ì˙ït,ÉåÅ[ÉXèÍ,ÉåÅ[ÉXî‘çÜ,ÉåÅ[ÉXéÌï ,í¯î‘,ìoò^î‘çÜ,ëIéËñº_x,îNóÓ,éxïî,ëÃèd,ãâï ,ëSçëèüó¶,ëSçë2òAëŒó¶,ìñínèüó¶,ìñín2òAëŒó¶,ÉÇÅ[É^Å[î‘çÜ,ÉÇÅ[É^Å[2òAëŒó¶,É{Å[Égî‘çÜ,É{Å[Ég2òAëŒó¶,ìVåÛ,ïóå¸,ïóë¨(m),îgçÇ(cm),ìWé¶É^ÉCÉÄ,íÖèá,åàÇ‹ÇËéË,êiì¸,ÉXÉ^Å[ÉgÉ^ÉCÉ~ÉìÉO,ÉåÅ[ÉXÉ^ÉCÉÄ,ëIéËñº_y,èoëñêî,èüóòâÒêî,2íÖâÒêî,3íÖâÒêî,ïΩãœST,ì¶Ç∞,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,î≤Ç´,åbÇ‹ÇÍ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,ì¶Çµ,ëSëÃïΩãœST,1íÖó¶,2íÖó¶,3íÖó¶,ì¶Ç∞ó¶,ì¶Çµó¶,ç∑Çµó¶,Ç‹Ç≠ÇËó¶,Ç‹Ç≠ÇËç∑Çµó¶,ç∑Ç≥ÇÍó¶,Ç‹Ç≠ÇÁÇÍó¶,Ç‹Ç≠ÇËç∑Ç≥ÇÍó¶
2021-10-23,ëÂë∫,1,àÍî ,1,4299,íÜìáç_ç∆,38,í∑çË,56,B1,5.84,36.71,4.69,27.27,76,42.42,72,20.29,ê∞,ñkìå,5,4,6.76,6,î≤Ç´,1,0.15,.  .,íÜìáç_ç∆,28.0,13.0,7.0,1.0,0.1275,11.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,3.0,0.0,0.1471428571428571,0.4642857142857143,0.25,0.03571428571428571,0.39285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.03571428571428571,0.10714285714285714
2021-10-23,ëÂë∫,1,àÍî ,2,4390,èºñ{ã|óY,35,ìøìá,51,B1,4.3,19.54,4.58,27.27,59,54.69,18,36.49,ê∞,ñkìå,5,4,6.81,3,î≤Ç´,2,0.21,1.51.6,èºñ{ã|óY,37.0,2.0,11.0,8.0,0.1929729729729729,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.1780094786729858,0.05405405405405406,0.2972972972972973,0.21621621621621623,0.0,0.4864864864864865,0.0,0.02702702702702703,0.0,0.0,0.0,0.0
2021-10-23,ëÂë∫,1,àÍî ,3,3851,êXìcè∫ïF,49,ïüâ™,57,B1,4.31,23.08,4.0,20.0,41,36.11,40,38.57,ê∞,ñkìå,5,4,6.81,2,î≤Ç´,3,0.34,1.50.9,êXìcè∫ïF,40.0,1.0,8.0,5.0,0.132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151256038647343,0.025,0.2,0.125,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
2021-10-23,ëÂë∫,1,àÍî ,4,4724,ãgìcóSãM,35,ç≤âÍ,52,B1,4.33,21.88,3.74,15.22,11,35.48,24,44.59,ê∞,ñkìå,5,4,6.75,4,î≤Ç´,4,0.13,1.52.8,ãgìcóSãM,32.0,1.0,0.0,10.0,0.1753125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1611,0.03125,0.0,0.3125,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0
2021-10-23,ëÂë∫,1,àÍî ,5,4346,ëOìcåíëæ,36,ïüâ™,56,B1,4.18,19.4,3.81,13.89,25,51.52,66,20.0,ê∞,ñkìå,5,4,6.73,1,î≤Ç´,5,0.08,1.49.6,ëOìcåíëæòY,37.0,2.0,1.0,4.0,0.1808108108108108,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690355329949238,0.05405405405405406,0.02702702702702703,0.10810810810810811,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0
2021-10-23,ëÂë∫,1,àÍî ,6,4244,óÈñÿê¨î¸,35,ê√â™,45,B2,4.18,21.92,5.0,22.22,67,25.37,25,29.17,ê∞,ñkìå,5,4,6.77,5,î≤Ç´,6,0.08,.  .,óÈñÿê¨î¸,10.0,0.0,0.0,1.0,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1369767441860465,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-23,ëÂë∫,2,àÍî ,1,4835,ã¥ñ{Å@ñæ,33,çLìá,53,B1,4.84,25.53,3.61,13.89,64,36.11,39,43.48,ê∞,ñkìå,5,4,6.81,1,ì¶Ç∞,1,0.03,1.47.9,ã¥ñ{ñæ,27.0,12.0,4.0,3.0,0.1651851851851851,11.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,3.0,0.0,0.1706603773584905,0.4444444444444444,0.14814814814814814,0.1111111111111111,0.4074074074074074,0.0,0.0,0.0,0.0,0.14814814814814814,0.25925925925925924,0.1111111111111111
2021-10-23,ëÂë∫,2,àÍî ,2,4875,ëÂíÀçNâÎ,27,ìåãû,50,B1,4.42,28.7,4.0,11.11,40,37.74,51,29.73,ê∞,ñkìå,5,4,6.74,3,ì¶Ç∞,2,0.07,1.51.2,ëÂíÀçNâÎ,38.0,2.0,5.0,10.0,0.1839473684210526,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.195063829787234,0.05263157894736842,0.13157894736842105,0.2631578947368421,0.0,0.6052631578947368,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
2021-10-23,ëÂë∫,2,àÍî ,3,5046,èºéRóTäÓ,27,ëÂç„,53,B1,3.81,15.53,0.0,0.0,39,38.67,53,40.0,ê∞,ñkìå,5,4,6.72,2,ì¶Ç∞,3,0.09,1.49.2,èºéRóTäÓ,35.0,2.0,5.0,5.0,0.1945714285714285,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1717553191489361,0.05714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0
2021-10-23,ëÂë∫,2,àÍî ,4,4540,ëäå¥óòèÕ,34,ìåãû,53,A2,6.0,42.28,4.17,0.0,20,19.35,29,25.71,ê∞,ñkìå,5,4,6.76,5,ì¶Ç∞,4,0.16,.  .,ëäå¥óòèÕ,35.0,4.0,9.0,6.0,0.174,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555506607929515,0.11428571428571428,0.2571428571428571,0.17142857142857143,0.0,0.0,0.02857142857142857,0.08571428571428572,0.0,0.0,0.0,0.0
