ì˙ït,ÉåÅ[ÉXèÍ,ÉåÅ[ÉXî‘çÜ,ÉåÅ[ÉXéÌï ,í¯î‘,ìoò^î‘çÜ,ëIéËñº_x,îNóÓ,éxïî,ëÃèd,ãâï ,ëSçëèüó¶,ëSçë2òAëŒó¶,ìñínèüó¶,ìñín2òAëŒó¶,ÉÇÅ[É^Å[î‘çÜ,ÉÇÅ[É^Å[2òAëŒó¶,É{Å[Égî‘çÜ,É{Å[Ég2òAëŒó¶,ìVåÛ,ïóå¸,ïóë¨(m),îgçÇ(cm),ìWé¶É^ÉCÉÄ,íÖèá,åàÇ‹ÇËéË,êiì¸,ÉXÉ^Å[ÉgÉ^ÉCÉ~ÉìÉO,ÉåÅ[ÉXÉ^ÉCÉÄ,ëIéËñº_y,èoëñêî,èüóòâÒêî,2íÖâÒêî,3íÖâÒêî,ïΩãœST,ì¶Ç∞,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,î≤Ç´,åbÇ‹ÇÍ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,ì¶Çµ,ëSëÃïΩãœST,1íÖó¶,2íÖó¶,3íÖó¶,ì¶Ç∞ó¶,ì¶Çµó¶,ç∑Çµó¶,Ç‹Ç≠ÇËó¶,Ç‹Ç≠ÇËç∑Çµó¶,ç∑Ç≥ÇÍó¶,Ç‹Ç≠ÇÁÇÍó¶,Ç‹Ç≠ÇËç∑Ç≥ÇÍó¶
2022-05-14,ëÂë∫,1,àÍî ,1,4558,ã{ñÏÅ@êm,32,â™éR,56,B1,4.93,25.93,5.25,31.25,36,30.21,64,30.22,ê∞,ñk,4,3,6.85,1,ì¶Ç∞,1,0.07,1.49.3,ã{ñÏêm,26.0,16.0,4.0,0.0,0.16,14.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,0.0,0.1619417475728155,0.6153846153846154,0.15384615384615385,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.07692307692307693
2022-05-14,ëÂë∫,1,àÍî ,2,3935,ä‚í√ìOòY,44,â™éR,55,B1,4.95,28.3,5.31,31.11,55,32.61,45,28.42,ê∞,ñk,4,3,6.87,5,ì¶Ç∞,2,0.13,.  .,ä‚í√ìOòY,42.0,2.0,11.0,7.0,0.1611904761904762,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.1727826086956521,0.047619047619047616,0.2619047619047619,0.16666666666666666,0.0,0.6428571428571429,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,1,àÍî ,3,3797,ä‚à‰Å@î…,48,çLìá,61,B1,4.36,19.33,4.27,26.67,12,32.78,27,31.75,ê∞,ñk,4,3,6.86,6,ì¶Ç∞,3,0.11,.  .,ä‚à‰î…,44.0,1.0,8.0,13.0,0.2031818181818181,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1912605042016807,0.022727272727272728,0.18181818181818182,0.29545454545454547,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,1,àÍî ,4,4126,ãgñ{óÊèè,42,çLìá,60,B1,4.22,24.24,3.43,17.5,30,40.51,12,32.39,ê∞,ñk,4,3,6.86,3,ì¶Ç∞,4,0.05,1.51.9,ãgñ{óÊèè,37.0,2.0,5.0,4.0,0.1505405405405405,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1650869565217391,0.05405405405405406,0.13513513513513514,0.10810810810810811,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0
2022-05-14,ëÂë∫,1,àÍî ,5,4533,ïÙèdò–é°,33,â™éR,52,B1,5.32,35.21,2.87,13.33,50,32.81,58,32.97,ê∞,ñk,4,3,6.78,4,ì¶Ç∞,5,0.11,1.53.2,ïÙèdò–é°,32.0,1.0,4.0,9.0,0.1653125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733707865168539,0.03125,0.125,0.28125,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,1,àÍî ,6,4897,ê[å©àüóR,30,à§ím,45,B1,4.36,16.84,0.0,0.0,19,36.98,62,30.0,ê∞,ñk,4,3,6.81,2,ì¶Ç∞,6,0.18,1.51.9,ê[å©àüóRî¸,23.0,0.0,2.0,4.0,0.2408695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2116,0.0,0.08695652173913043,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,2,àÍî ,1,4495,êXêWëæòY,35,ïüâ™,54,B1,4.53,28.38,4.38,30.95,25,41.85,74,33.7,ê∞,ñk,4,3,6.79,1,ì¶Ç∞,1,0.11,1.49.7,êXêWëæòY,21.0,9.0,5.0,2.0,0.1795238095238095,8.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.1574857142857142,0.42857142857142855,0.23809523809523808,0.09523809523809523,0.38095238095238093,0.0,0.0,0.047619047619047616,0.0,0.19047619047619047,0.14285714285714285,0.14285714285714285
2022-05-14,ëÂë∫,2,àÍî ,2,4588,ìcíÜãûâÓ,31,ïüâ™,55,B1,5.95,44.68,5.02,35.19,33,41.15,71,32.07,ê∞,ñk,4,3,6.89,2,ì¶Ç∞,2,0.19,1.51.2,ìcíÜãûâÓ,34.0,8.0,10.0,4.0,0.1505882352941176,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.1507692307692307,0.23529411764705882,0.29411764705882354,0.11764705882352941,0.0,0.4411764705882353,0.20588235294117646,0.029411764705882353,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,2,àÍî ,3,3571,éõñ{ïêéi,50,í∑çË,54,B1,3.58,16.46,4.15,22.83,26,34.78,60,37.16,ê∞,ñk,4,3,6.89,6,ì¶Ç∞,3,0.14,.  .,éõñ{ïêéi,33.0,0.0,3.0,4.0,0.1572727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642937853107344,0.0,0.09090909090909091,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,2,àÍî ,4,3505,éRìcó≥àÍ,51,ìåãû,53,A2,5.97,40.52,5.67,33.33,61,27.32,75,44.74,ê∞,ñk,4,3,6.85,4,ì¶Ç∞,4,0.13,1.53.8,éRìcó≥àÍ,46.0,6.0,7.0,9.0,0.158695652173913,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1653333333333333,0.13043478260869565,0.15217391304347827,0.1956521739130435,0.0,0.0,0.043478260869565216,0.021739130434782608,0.043478260869565216,0.0,0.0,0.0
2022-05-14,ëÂë∫,2,àÍî ,5,4448,ê¬ñÿå∫ëæ,35,é†âÍ,52,A1,7.02,53.4,7.92,75.0,21,41.97,70,36.76,ê∞,ñk,4,3,6.9,5,ì¶Ç∞,5,0.12,.  .,ê¬ñÿå∫ëæ,38.0,2.0,12.0,11.0,0.1436842105263157,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140074074074074,0.05263157894736842,0.3157894736842105,0.2894736842105263,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
2022-05-14,ëÂë∫,2,àÍî ,6,4365,ê∑ñ{ê^ï„,36,ï∫å…,51,A2,5.86,40.65,5.0,17.65,14,26.55,50,29.74,ê∞,ñk,4,3,6.89,3,ì¶Ç∞,6,0.16,1.52.9,ê∑ñ{ê^ï„,37.0,0.0,3.0,7.0,0.2237837837837837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178544061302682,0.0,0.08108108108108109,0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,3,àÍî ,1,3674,ä›Å@åbéq,49,ìøìá,49,B1,4.93,31.94,5.8,40.0,53,27.91,21,35.45,ê∞,ñk,3,2,6.88,1,ì¶Ç∞,1,0.08,1.48.7,ä›åbéq,31.0,15.0,8.0,2.0,0.1261290322580645,15.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.1512244897959183,0.4838709677419355,0.25806451612903225,0.06451612903225806,0.4838709677419355,0.0,0.0,0.0,0.0,0.22580645161290322,0.12903225806451613,0.0967741935483871
2022-05-14,ëÂë∫,3,àÍî ,2,3618,äCñÏÇ‰Ç©,48,çLìá,44,A1,6.43,45.45,6.29,41.82,60,27.04,56,36.65,ê∞,ñk,3,2,6.87,3,ì¶Ç∞,2,0.09,1.52.7,äCñÏÇ‰Ç©ÇË,48.0,9.0,18.0,9.0,0.1739583333333333,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,0.168220640569395,0.1875,0.375,0.1875,0.0,0.5416666666666666,0.10416666666666667,0.041666666666666664,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,3,àÍî ,3,4275,êõñÏÇÕÇ‚,39,çLìá,51,B1,4.53,27.03,4.0,22.22,11,38.54,47,34.39,ê∞,ñk,3,2,6.83,5,ì¶Ç∞,3,0.09,.  .,êõñÏÇÕÇ‚Ç©,28.0,1.0,5.0,3.0,0.18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1894701986754967,0.03571428571428571,0.17857142857142858,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,3,àÍî ,4,4823,íÜë∫ìçâ¿,29,çÅêÏ,45,A1,6.84,48.72,7.0,55.0,65,35.98,63,31.02,ê∞,ñk,3,2,6.82,2,ì¶Ç∞,4,0.05,1.49.8,íÜë∫ìçâ¿,49.0,4.0,12.0,13.0,0.1177551020408163,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322900763358779,0.08163265306122448,0.24489795918367346,0.2653061224489796,0.0,0.0,0.02040816326530612,0.061224489795918366,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,3,àÍî ,5,3509,ìπè„êÁâƒ,50,çÅêÏ,50,B1,4.13,15.63,2.21,7.14,29,47.03,38,31.52,ê∞,ñk,3,2,6.83,4,ì¶Ç∞,5,0.01,1.53.6,ìπè„êÁâƒ,27.0,0.0,1.0,4.0,0.1466666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477777777777777,0.0,0.037037037037037035,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,3,àÍî ,6,4764,è¨íróÁîT,31,ïüâ™,46,B1,4.77,26.32,5.03,37.14,35,32.79,35,32.81,ê∞,ñk,3,2,6.79,6,ì¶Ç∞,6,0.03,.  .,è¨íróÁîT,31.0,0.0,1.0,9.0,0.1841935483870967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649773755656108,0.0,0.03225806451612903,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-14,ëÂë∫,4,àÍî ,1,4570,ëOìcêπï∂,34,à§ím,54,A2,5.76,40.52,4.93,28.57,16,30.05,18,25.7,ê∞,ñk,4,3,6.86,6,ç∑Çµ,1,0.22,.  .,ëOìcêπï∂,46.0,20.0,10.0,5.0,0.1771739130434782,19.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,8.0,0.0,0.1687096774193548,0.43478260869565216,0.21739130434782608,0.10869565217391304,0.41304347826086957,0.0,0.0,0.0,0.0,0.06521739130434782,0.2391304347826087,0.17391304347826086
